,timestamp,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
3381,2023/1/11 5:00,1.67341E+12,17407.98,17436.73,17397.27,17406.3,6119.31971,1.67342E+12,106585255.3,175853,3134.86029,54601847.84,0
3382,2023/1/11 6:00,1.67342E+12,17406.16,17442.47,17388,17437.29,9009.63417,1.67342E+12,156953846.5,189548,4560.93188,79453237.35,0
3383,2023/1/11 7:00,1.67342E+12,17436.89,17462.99,17426.07,17446.65,9347.60277,1.67342E+12,163056312,180934,4579.65051,79887567.1,0
3384,2023/1/11 8:00,1.67342E+12,17447.02,17451.38,17408.68,17447.6,8596.90944,1.67343E+12,149865506.4,201406,4230.84802,73756171.66,0
3385,2023/1/11 9:00,1.67343E+12,17447.95,17472.15,17439.7,17446.71,8159.56219,1.67343E+12,142420452.1,201551,3928.45892,68570856.03,0
3386,2023/1/11 10:00,1.67343E+12,17446.86,17459,17435.18,17441.24,6172.66996,1.67343E+12,107697394.4,171791,2868.9466,50057278.96,0
3387,2023/1/11 11:00,1.67343E+12,17441.24,17454.51,17427.86,17437.75,7057.23375,1.67344E+12,123062784.8,177725,3367.93841,58730285.99,0
3388,2023/1/11 12:00,1.67344E+12,17437.75,17437.75,17402,17418.56,9151.50731,1.67344E+12,159413496.5,202704,4249.40185,74021951.13,0
3389,2023/1/11 13:00,1.67344E+12,17418.56,17435.74,17383.48,17413.43,9777.24374,1.67345E+12,170244716.7,238687,4578.35555,79719206.53,0
3390,2023/1/11 14:00,1.67345E+12,17413.43,17435.87,17376,17413.97,13585.06312,1.67345E+12,236415391.7,306476,6804.24463,118414559.6,0
3391,2023/1/11 15:00,1.67345E+12,17413.97,17437.71,17315.6,17332.43,16548.57079,1.67345E+12,287535255,325984,8138.42625,141414628.9,0
3392,2023/1/11 16:00,1.67345E+12,17331.9,17368.37,17320.42,17347.62,9399.06698,1.67346E+12,163076541.8,220786,4819.34892,83618042.42,0
3393,2023/1/11 17:00,1.67346E+12,17347.79,17393.5,17342.51,17382.08,7438.16925,1.67346E+12,129254950.5,176686,3653.9416,63495485.6,0
3394,2023/1/11 18:00,1.67346E+12,17382.05,17571.7,17380.76,17487.09,23106.94112,1.67346E+12,403832984.8,376852,11668.73776,203917925.6,0
3395,2023/1/11 19:00,1.67346E+12,17486.44,17557.76,17468.57,17550.29,15845.33763,1.67347E+12,277656008.6,278176,7887.79505,138219635.5,0
3396,2023/1/11 20:00,1.67347E+12,17549.62,17581.75,17508.86,17550.57,13165.28391,1.67347E+12,230898286.6,238591,6465.3955,113396203.1,0
3397,2023/1/11 21:00,1.67347E+12,17550.57,17571.38,17529.39,17558.6,8702.05303,1.67347E+12,152731363.5,202235,4156.6603,72955968.48,0
3398,2023/1/11 22:00,1.67347E+12,17559.49,17597,17514.06,17556.41,12547.23588,1.67348E+12,220287151.6,261042,6052.37973,106265753.1,0
3399,2023/1/11 23:00,1.67348E+12,17556.41,18000,17550.87,17943.26,31295.38283,1.67348E+12,557439387.9,510551,16311.8307,290549999,0
3400,2023/1/12 0:00,1.67348E+12,17943.26,18297.37,17907.25,18264.1,29755.53326,1.67349E+12,535903586.2,484070,15253.97697,274774162.5,0
3401,2023/1/12 1:00,1.67349E+12,18264.1,18292.56,18140.58,18221.51,23739.80084,1.67349E+12,432043266.3,432616,12106.19113,220324880.4,0
3402,2023/1/12 2:00,1.67349E+12,18222.31,18385.71,18179.49,18207.54,18968.39437,1.67349E+12,346246498.5,340762,9677.44766,176666902.6,0
3403,2023/1/12 3:00,1.67349E+12,18206.85,18240.17,18196.83,18224.68,10030.80424,1.6735E+12,182773936.6,239363,4987.78218,90885283.58,0
3404,2023/1/12 4:00,1.6735E+12,18224.68,18232.5,18197.46,18215.66,7951.75735,1.6735E+12,144848720.3,204639,3887.12943,70808655.06,0
3405,2023/1/12 5:00,1.6735E+12,18215.74,18241.43,18075.19,18087.54,12286.65303,1.6735E+12,223182150.3,263599,5977.43896,108575044.8,0
3406,2023/1/12 6:00,1.6735E+12,18087.54,18164.19,18085.3,18147.77,9141.46584,1.67351E+12,165735204.5,233077,4589.13348,83198988.19,0
3407,2023/1/12 7:00,1.67351E+12,18147.25,18177.97,18117.3,18138.22,7876.30717,1.67351E+12,142950346.8,205478,3766.49405,68361304.68,0
3408,2023/1/12 8:00,1.67351E+12,18138.21,18152.17,18071.06,18151.52,9012.78676,1.67351E+12,163267154.3,229563,4361.18603,79005715.21,0
3409,2023/1/12 9:00,1.67351E+12,18151.52,18173.72,18129.31,18164.67,8167.69214,1.67352E+12,148249042.4,221214,3895.90883,70715145.4,0
3410,2023/1/12 10:00,1.67352E+12,18164.13,18218,18142.18,18185.6,9055.0101,1.67352E+12,164583565.7,251286,4348.72698,79045850.54,0
3411,2023/1/12 11:00,1.67352E+12,18185.6,18222.59,18163.57,18200.8,8018.64554,1.67352E+12,145852203.5,233336,3940.72821,71680685.91,0
3412,2023/1/12 12:00,1.67352E+12,18200.8,18279.86,18170.27,18268.94,15008.40297,1.67353E+12,273451516.5,346626,7427.23032,135327602.4,0
3413,2023/1/12 13:00,1.67353E+12,18269.59,18380.47,17892.05,18284.91,51231.61325,1.67353E+12,931886152.1,793705,25578.81612,465336536.6,0
3414,2023/1/12 14:00,1.67353E+12,18284.91,18356.58,17925.09,17998.56,40174.44274,1.67354E+12,728308275.3,622015,19771.27439,358384460.2,0
3415,2023/1/12 15:00,1.67354E+12,17997.63,18142.8,17988.01,18086.62,24291.99886,1.67354E+12,439345763.5,436749,12120.54822,219215251.1,0
3416,2023/1/12 16:00,1.67354E+12,18087.28,18144,18054.61,18134.55,14946.27349,1.67354E+12,270566051.1,362758,7398.4416,133936140.5,0
3417,2023/1/12 17:00,1.67354E+12,18134.55,18872,18105.56,18837.06,37374.42104,1.67355E+12,693115401.5,664783,19471.95369,361033322.9,0
3418,2023/1/12 18:00,1.67355E+12,18837.06,18988,18615.21,18796.93,33953.94896,1.67355E+12,637778049.6,587247,16787.92679,315382039.9,0
3419,2023/1/12 19:00,1.67355E+12,18796.93,19060,18760.34,18885.35,24609.80921,1.67355E+12,464571898.5,480106,12386.50144,233848988.2,0
3420,2023/1/12 20:00,1.67355E+12,18885.35,19087,18820.63,19048.95,19237.60617,1.67356E+12,364155167.2,427111,9875.41187,186934920.8,0
3421,2023/1/12 21:00,1.67356E+12,19048.95,19117.04,18762,18830.07,21655.32154,1.67356E+12,408635633.4,405169,10585.58008,199757773.2,0
3422,2023/1/12 22:00,1.67356E+12,18830.07,18936.21,18776.83,18913.92,9015.33064,1.67356E+12,169881931.1,221775,4722.18694,88985065.56,0
3423,2023/1/12 23:00,1.67356E+12,18913.38,18915.56,18844.55,18846.62,9064.30227,1.67357E+12,171099692.8,224326,4377.31635,82629078.18,0
3424,2023/1/13 0:00,1.67357E+12,18846.62,18887,18714.12,18771.61,14571.89741,1.67357E+12,274057984.3,332716,7226.09691,135899333.3,0
3425,2023/1/13 1:00,1.67357E+12,18771.61,18819.37,18744.58,18811.48,9450.99789,1.67358E+12,177554363.1,271773,4661.89766,87584134.53,0
3426,2023/1/13 2:00,1.67358E+12,18811.4,18842.73,18786.1,18835.48,8659.244,1.67358E+12,162925726,230250,4197.52597,78979048.9,0
3427,2023/1/13 3:00,1.67358E+12,18835.48,18883.55,18823.54,18876.37,9046.16516,1.67358E+12,170486505.7,223210,4388.63295,82710277.13,0
3428,2023/1/13 4:00,1.67358E+12,18876.37,18883.79,18818.31,18821.27,8211.64506,1.67359E+12,154864628.4,211548,3813.17463,71914818.49,0
3429,2023/1/13 5:00,1.67359E+12,18821.27,18835.77,18778.41,18787.71,8427.10991,1.67359E+12,158524065.2,231618,4140.14054,77882622.33,0
3430,2023/1/13 6:00,1.67359E+12,18787.71,18864.21,18780.57,18852.68,7522.51436,1.67359E+12,141606820.1,204922,3750.60359,70602722.15,0
3431,2023/1/13 7:00,1.67359E+12,18853.1,18857.87,18785,18824.25,9476.07449,1.6736E+12,178322887.5,236537,4494.98268,84588958.69,0
3432,2023/1/13 8:00,1.6736E+12,18825,18860.17,18810.01,18842.15,8768.8504,1.6736E+12,165170788.6,259907,4339.62278,81742523.66,0
3433,2023/1/13 9:00,1.6736E+12,18842.68,18938.99,18839.17,18910.23,12906.62634,1.6736E+12,243740790.7,324855,6200.9183,117103908.1,0
3434,2023/1/13 10:00,1.6736E+12,18910.8,19057.7,18858.98,19042.01,18027.7203,1.67361E+12,341823563.1,457169,9186.75495,174191200,0
3435,2023/1/13 11:00,1.67361E+12,19042.87,19045.17,18888.79,18920.95,13932.14357,1.67361E+12,264179998.9,373256,6818.45166,129299012,0
3436,2023/1/13 12:00,1.67361E+12,18920.95,18936.98,18811.52,18864.59,12196.93938,1.67361E+12,230348178.2,315847,6004.37532,113401284.1,0
3437,2023/1/13 13:00,1.67361E+12,18864.59,18902.04,18812,18854.84,11447.72178,1.67362E+12,215987098.7,292396,5592.8365,105525600.3,0
3438,2023/1/13 14:00,1.67362E+12,18854.84,19143.28,18833.51,18996.27,21812.49739,1.67362E+12,413745689.6,441429,10948.71027,207683657.5,0
3439,2023/1/13 15:00,1.67362E+12,18996.27,19310.91,18984.09,19261.19,39505.15947,1.67363E+12,757696813.6,614962,19738.1138,378565549.5,0
3440,2023/1/13 16:00,1.67363E+12,19261.19,19276.41,19060.15,19133.39,21990.08148,1.67363E+12,420906997.4,405758,10785.76278,206444195.7,0
3441,2023/1/13 17:00,1.67363E+12,19133.39,19406.26,19105.5,19256.06,24276.05083,1.67363E+12,467906623.1,422733,12254.09777,236179184.6,0
3442,2023/1/13 18:00,1.67363E+12,19255.84,19387.37,19253.76,19292.44,16005.03199,1.67364E+12,309054753.1,313015,8014.19487,154756148.2,0
3443,2023/1/13 19:00,1.67364E+12,19293.25,19373,19246.12,19362.01,13817.14939,1.67364E+12,266720859.1,312458,6935.87893,133889868.8,0
3444,2023/1/13 20:00,1.67364E+12,19363.43,19497.18,19315.77,19473.67,18901.95762,1.67364E+12,366785287.5,373514,9520.59406,184753603.4,0
3445,2023/1/13 21:00,1.67364E+12,19474.82,19911.82,19375.52,19816.81,28641.78804,1.67365E+12,562491254.9,506257,14736.62473,289449664.6,0
3446,2023/1/13 22:00,1.67365E+12,19816.81,20000,19786.43,19849.41,20913.07012,1.67365E+12,416142872.6,403223,10626.09164,211471727.8,0
3447,2023/1/13 23:00,1.67365E+12,19848.53,19942.2,19728.62,19930.01,10107.44185,1.67365E+12,200588912.4,262421,5072.81048,100681846.6,0
3448,2023/1/14 0:00,1.67365E+12,19930.01,21258,19888.05,20891.67,66759.62394,1.67366E+12,1375804967,923255,34543.45651,711955754.6,0
3449,2023/1/14 1:00,1.67366E+12,20891.67,21088,20691.13,20927.44,28721.89375,1.67366E+12,600290233.3,542830,14363.31706,300232169.9,0
3450,2023/1/14 2:00,1.67366E+12,20926.78,21037.89,20820.06,20938.93,21828.4948,1.67367E+12,457089087.4,459066,10960.45946,229517161.7,0
3451,2023/1/14 3:00,1.67367E+12,20937.87,20986.3,20781.81,20967.23,15596.51492,1.67367E+12,325908243.2,367704,7879.20123,164649914.6,0
3452,2023/1/14 4:00,1.67367E+12,20967.23,21033.64,20878.33,20894.86,13195.35042,1.67367E+12,276252210.9,315943,6536.81843,136862581.8,0
3453,2023/1/14 5:00,1.67367E+12,20895.43,20914.81,20777.37,20841.62,11892.84254,1.67368E+12,247926811.6,304137,5982.3099,124710593.3,0
3454,2023/1/14 6:00,1.67368E+12,20840.65,20973.63,20838.53,20955.57,9645.2354,1.67368E+12,201710084.3,294073,4832.33452,101062638.5,0
3455,2023/1/14 7:00,1.67368E+12,20954.37,20967.94,20850,20897.36,9942.91758,1.67368E+12,207954314,296743,4743.21616,99206576.63,0
3456,2023/1/14 8:00,1.67368E+12,20897.36,21022.39,20875.6,21003.35,11647.1779,1.67369E+12,244135379.4,328047,5999.40211,125750962.8,0
3457,2023/1/14 9:00,1.67369E+12,21003.35,21010.83,20306.64,20523.75,34526.45807,1.67369E+12,710506293.6,661490,16691.66268,343377600.9,0
3458,2023/1/14 10:00,1.67369E+12,20523.75,20526.88,20225.06,20496.77,18153.54315,1.67369E+12,370373738.7,401225,9039.10947,184434594.3,0
3459,2023/1/14 11:00,1.67369E+12,20496.77,20755.19,20472.39,20721.73,15443.07562,1.6737E+12,319031331.3,353069,7844.29803,162048552.6,0
3460,2023/1/14 12:00,1.6737E+12,20721.03,20975,20575.06,20911.19,18682.39138,1.6737E+12,388611275.5,398457,9288.32791,193214357.5,0
3461,2023/1/14 13:00,1.6737E+12,20911.19,20982.26,20782.86,20940.71,12769.52817,1.6737E+12,266644036.6,346789,6532.71695,136427451.2,0
3462,2023/1/14 14:00,1.6737E+12,20939.26,21200,20568.12,20834.4,23382.71318,1.67371E+12,488560733.3,483305,11802.14759,246662889.9,0
3463,2023/1/14 15:00,1.67371E+12,20832.6,20896,20629.84,20786.74,15922.70411,1.67371E+12,330953491.6,341777,7843.20449,163028458.5,0
3464,2023/1/14 16:00,1.67371E+12,20785.85,20866.24,20750.81,20810.66,12083.54299,1.67372E+12,251405648.3,277444,6125.12546,127443172,0
3465,2023/1/14 17:00,1.67372E+12,20809.94,20911.23,20725.32,20755.78,11055.39428,1.67372E+12,230329386.9,262000,5296.0039,110348483.9,0
3466,2023/1/14 18:00,1.67372E+12,20755.78,20800,20660,20757.99,8912.40137,1.67372E+12,184745662.6,239643,4340.75194,89982548.65,0
3467,2023/1/14 19:00,1.67372E+12,20757.99,20861.28,20717.41,20783.68,8210.56962,1.67373E+12,170689284.1,228444,4089.2187,85012797.24,0
3468,2023/1/14 20:00,1.67373E+12,20783.68,20899.4,20758,20877.47,6009.78342,1.67373E+12,125112679,191564,3150.09308,65584485.55,0
3469,2023/1/14 21:00,1.67373E+12,20876.31,20947.84,20827.31,20900.66,7390.95259,1.67373E+12,154400120.1,227024,3736.6099,78061603.08,0
3470,2023/1/14 22:00,1.67373E+12,20900.66,21023.93,20864.29,20989.97,5335.75759,1.67374E+12,111659172.8,182231,2865.36155,59970936,0
3471,2023/1/14 23:00,1.67374E+12,20989.97,21072.27,20933.33,20954.92,6804.88272,1.67374E+12,142977381.3,233285,3332.40506,70021877.12,0
3472,2023/1/15 0:00,1.67374E+12,20952.76,21001.84,20623.21,20767.05,14735.14851,1.67374E+12,306555040,385102,7087.26178,147452754.4,0
3473,2023/1/15 1:00,1.67374E+12,20766.57,20789.96,20647.78,20770.29,7937.08168,1.67375E+12,164479429.5,264034,3911.73001,81063085.24,0
3474,2023/1/15 2:00,1.67375E+12,20771.27,20816.7,20667.96,20672.91,7268.68577,1.67375E+12,150721727.2,203885,3564.34003,73918317.88,0
3475,2023/1/15 3:00,1.67375E+12,20672.79,20742.83,20551.01,20719.09,8095.435,1.67376E+12,167250706.1,234224,3950.30461,81620016.22,0
3476,2023/1/15 4:00,1.67376E+12,20719.09,20759.87,20679,20698.14,4760.81434,1.67376E+12,98632278.05,170542,2384.92037,49412055.73,0
3477,2023/1/15 5:00,1.67376E+12,20698.14,20785,20677.38,20749.76,5102.14697,1.67376E+12,105828785.1,172079,2569.23773,53292303.58,0
3478,2023/1/15 6:00,1.67376E+12,20748.94,20789.58,20698,20717,4727.89874,1.67377E+12,98080267.65,164766,2297.25119,47660784.99,0
3479,2023/1/15 7:00,1.67377E+12,20717,20739.82,20666.88,20735.69,5685.65589,1.67377E+12,117731886.2,182823,2886.42488,59772458.16,0
3480,2023/1/15 8:00,1.67377E+12,20735.69,20755.22,20591.21,20617.71,9316.58251,1.67377E+12,192574449.7,249642,4394.76564,90851149.45,0
3481,2023/1/15 9:00,1.67377E+12,20617.93,20754.54,20573.13,20750.59,8557.69198,1.67378E+12,176649930.6,231922,4499.79994,92901469.21,0
3482,2023/1/15 10:00,1.67378E+12,20748.94,20759,20692.17,20732.83,5197.76285,1.67378E+12,107741598.6,178871,2602.5041,53947757.63,0
3483,2023/1/15 11:00,1.67378E+12,20732.83,20741.64,20657.81,20722.23,5578.01992,1.67378E+12,115487796.9,186897,2671.79891,55320599.95,0
3484,2023/1/15 12:00,1.67378E+12,20722.23,20744.89,20652.24,20694.03,5026.75295,1.67379E+12,104067622.2,167909,2449.21986,50709861.67,0
3485,2023/1/15 13:00,1.67379E+12,20694.03,20844.29,20685,20705.79,7209.06636,1.67379E+12,149512408.3,213184,3631.61665,75325271.77,0
3486,2023/1/15 14:00,1.67379E+12,20705.79,20818.15,20670.7,20787.58,7251.10535,1.67379E+12,150430470,228882,3600.12772,74691463.79,0
3487,2023/1/15 15:00,1.67379E+12,20787.87,20994.05,20776.47,20908.28,13017.58428,1.6738E+12,271781742.6,294475,6723.90733,140389663.2,0
3488,2023/1/15 16:00,1.6738E+12,20906.97,20961.81,20850.72,20869.2,9453.15336,1.6738E+12,197535483.6,259528,4669.74181,97584002.87,0
3489,2023/1/15 17:00,1.6738E+12,20871.09,21050.74,20865.33,20920.23,11029.40649,1.67381E+12,231042675.8,288091,5476.63319,114729728.2,0
3490,2023/1/15 18:00,1.67381E+12,20921.48,20923.59,20665,20817.94,12011.63609,1.67381E+12,249755727.6,291849,5784.01821,120271302.2,0
3491,2023/1/15 19:00,1.67381E+12,20817.94,20903.47,20776.78,20870.15,5169.47152,1.67381E+12,107794788.5,170274,2634.29357,54934085.3,0
3492,2023/1/15 20:00,1.67381E+12,20870.15,20929.99,20836.1,20905.69,5012.8686,1.67382E+12,104654385.5,157033,2472.11906,51610787.37,0
3493,2023/1/15 21:00,1.67382E+12,20904.74,20932.4,20860.01,20900.62,4089.65709,1.67382E+12,85462275.64,136510,1943.51712,40615721.46,0
3494,2023/1/15 22:00,1.67382E+12,20900.62,20952.37,20746.39,20911.27,6528.17941,1.67382E+12,136065587.8,187517,3283.9056,68450827.23,0
